description,name,protein,fat,carbohydrate,calories
[],Shrimp and noodles with gravy,6.02,5.18,14.7,131
[],Shrimp and noodles with mushroom sauce,6.31,5.24,15.0,133
[],Shrimp and noodles with cream or white sauce,7.14,5.32,16.2,143
[],Shrimp and noodles with soy-based sauce,10.2,7.25,8.17,141
[],Shrimp and noodles with cheese sauce,8.18,5.37,13.4,136
[],Shrimp and noodles with tomato sauce,6.46,5.22,15.4,134
[],Tuna loaf,21.0,12.0,9.35,233
[],Tuna cake or patty,15.3,14.9,2.65,206
[],Clam cake or patty,19.0,15.4,6.79,246
[],Flounder with crab stuffing,15.1,5.52,5.73,136
['baked'],"Lobster with bread stuffing, baked",15.0,8.26,9.83,177
[],Clams Casino,11.8,7.92,10.2,161
['cakeorpatty'],"Shrimp, cake or patty",13.9,15.3,5.26,218
[],Shrimp with crab stuffing,16.4,9.01,6.16,174
[],Shrimp toast,8.46,15.4,12.0,222
[],Imitation crab meat,7.62,0.46,15.0,95.0
[],Seafood souffle,9.94,9.98,5.56,153
[],Tuna noodle casserole with cream or white sauce,10.1,7.3,15.4,168
[],Tuna noodle casserole with mushroom sauce,9.02,5.18,13.9,139
[],Tuna and rice with mushroom sauce,4.57,5.17,15.4,128
[],Fish and rice with tomato-based sauce,5.41,5.12,16.5,135
[],Fish and rice with cream sauce,5.54,4.98,15.8,133
[],Fish and rice with mushroom sauce,5.34,5.16,16.1,135
[],Fish and noodles with mushroom sauce,6.3,5.11,14.8,131
[],Shellfish and noodles with tomato-based sauce,6.58,5.04,15.7,135
['PuertoRicanstyle'],"Stewed salmon, Puerto Rican style",12.0,7.02,8.47,146
['NSastotypeofmeat'],"Meat loaf, NS as to type of meat",17.5,11.0,7.2,202
"['withbreading', 'NSastotypeofmeat', 'withgravy']","Meatballs, with breading, NS as to type of meat, with gravy",12.2,7.51,6.28,143
[],Meat loaf made with beef and pork,17.3,10.5,7.18,196
['vealandpork'],"Meat loaf made with beef, veal and pork",17.3,10.5,7.18,196
['withtomato-basedsauce'],"Meat loaf made with beef and pork, with tomato-based sauce",13.6,8.18,6.75,157
['NSastotypeofmeat'],"Hash, NS as to type of meat",8.73,10.2,9.27,164
['PuertoRicanstyle'],"Vienna sausages stewed with potatoes, Puerto Rican style",5.08,16.4,13.1,219
"['seasoned', 'groundbeefandporkwithpotatoes', 'Mexicanstyle']","Stewed, seasoned, ground beef and pork with potatoes, Mexican style",12.8,8.03,4.16,143
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",6.93,5.15,13.5,126
"['potatoes', 'andvegetables', 'excludingcarrots', 'broccoli', 'anddark-greenleafy;nosauce']","Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",6.97,5.1,15.0,131
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",4.76,6.0,13.7,127
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;nosauce']","Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",4.84,5.38,15.4,127
"['broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.24,3.98,8.25,90.0
"['broccoli', 'anddark-greenleafy;tomato-basedsauce']","Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",6.64,2.37,8.5,82.0
"['broccoli', 'and/ordark-greenleafy;gravy']","Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",6.23,2.22,8.6,79.0
"['broccoli', 'anddark-greenleafy;gravy']","Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.78,2.42,8.48,83.0
[],Shepherd's pie,7.64,6.3,8.68,123
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",5.23,7.16,11.2,129
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",5.3,6.34,12.4,126
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;creamsauce', 'whitesauce', 'ormushroomsauce']","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",5.28,7.06,11.1,127
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;creamsauce', 'whitesauce', 'ormushroomsauce']","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",5.33,6.69,12.2,128
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.33,6.96,11.1,126
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;tomato-basedsauce']","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",5.39,6.56,12.3,126
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;cheesesauce']","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",8.14,5.43,11.8,127
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;cheesesauce']","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",8.17,5.43,13.0,131
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;soy-basedsauce']","Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",11.8,8.82,5.96,149
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;soy-basedsauce']","Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",11.8,8.81,5.78,148
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",8.71,5.19,16.7,148
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;nosauce']","Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",8.78,4.91,18.3,151
[],Beef chow mein or chop suey with noodles,10.8,4.89,11.2,129
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;soy-basedsauce']","Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",10.3,7.58,7.6,139
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;soy-basedsauce']","Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",10.4,7.64,7.41,139
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",6.74,5.06,13.7,126
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;tomato-basedsauce']","Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",6.77,5.07,14.9,130
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;mushroomsauce']","Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",6.6,5.06,13.6,125
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;mushroomsauce']","Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",6.63,5.03,14.6,129
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",6.65,5.04,13.8,127
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.68,5.05,14.9,131
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",7.54,4.86,18.4,149
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;nosauce']","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",7.62,4.29,20.0,149
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.85,5.4,14.9,131
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.91,4.99,16.1,132
[],Stuffed cabbage rolls with beef and rice,8.41,5.02,8.64,112
[],Stuffed grape leaves with beef and rice,8.15,17.0,11.3,228
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;mushroomsauce']","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",5.78,5.23,14.7,130
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;mushroomsauce']","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",5.81,5.23,15.7,133
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;cheesesauce']","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",8.58,5.51,15.5,147
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;cheesesauce']","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",8.18,5.24,15.8,143
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",5.77,5.18,15.0,131
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",5.8,5.18,16.1,135
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;soy-basedsauce']","Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",10.6,7.7,7.9,143
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;soy-basedsauce']","Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",10.9,7.95,7.72,145
['beef'],"Pot pie, beef",8.92,15.4,23.9,270
"['dumplings', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",6.15,6.36,11.7,127
"['dumplings', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.19,6.16,12.8,130
['PuertoRicanstyle'],"Stuffed green pepper, Puerto Rican style",8.96,5.87,15.6,150
"['noodlesandvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;nosauce']","Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",8.42,4.91,18.3,151
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",8.35,5.19,16.7,148
"['noodlesandvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;cheesesauce']","Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",9.18,6.42,15.3,155
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",6.55,5.43,13.4,128
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",6.48,5.02,13.8,125
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;tomato-basedsauce']","Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",5.26,5.69,15.3,131
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.22,5.69,14.2,127
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.03,7.06,11.2,128
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;tomato-basedsauce']","Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",5.12,6.64,12.3,127
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3.73,7.53,11.6,128
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3.78,7.12,12.8,128
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",4.98,6.84,11.2,126
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",5.03,6.43,12.4,126
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;nosauce']","Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",6.59,5.44,14.9,133
[],Pork chow mein or chop suey with noodles,10.4,6.38,11.2,143
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;soy-basedsauce']","Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",9.96,7.89,7.9,144
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;soy-basedsauce']","Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",10.2,8.15,7.72,146
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.61,5.07,15.0,129
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;tomato-basedsauce']","Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",5.64,5.07,16.1,133
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;nosauce']","Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",5.56,5.06,15.0,126
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",5.47,5.9,13.4,128
[],Sweet and sour pork with rice,9.81,8.82,16.4,186
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",5.05,5.51,16.3,136
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.13,5.31,15.2,130
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy",5.02,5.5,15.2,133
[],Stuffed grape leaves with lamb and rice,8.17,21.5,11.9,271
"['broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",8.25,1.89,11.7,97.0
['PuertoRicanstyle'],"Veal fricassee, Puerto Rican style",16.4,8.09,7.23,170
"['PuertoRicanstyle', '']","Stewed rabbit, Puerto Rican style,",17.1,12.7,6.83,214
"['broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Venison or deer stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",7.52,0.82,8.52,72.0
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",5.95,6.5,11.2,127
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.01,6.1,12.3,127
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",7.43,5.11,13.6,130
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;tomato-basedsauce']","Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",7.47,5.11,14.8,134
"['potatoes', 'corn', 'andcheese', 'withgravy']","Chicken or turkey, potatoes, corn, and cheese, with gravy",4.55,6.2,13.2,124
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",6.16,5.97,13.3,129
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;nosauce']","Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",6.21,5.7,14.8,132
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",4.72,6.82,11.2,123
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",4.75,6.82,12.3,127
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;creamsauce', 'whitesauce', 'ormushroomsauce']","Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",4.79,7.12,11.1,126
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;creamsauce', 'whitesauce', 'ormushroomsauce']","Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",4.84,6.75,12.1,126
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;cheesesauce']","Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",7.54,5.93,11.7,129
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;cheesesauce']","Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",7.57,5.93,12.9,133
"['potatoes', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",4.81,7.02,11.1,124
"['potatoes', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;tomato-basedsauce']","Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",4.84,7.03,12.2,128
"['broccoli', 'and/ordark-greenleafy;gravy']","Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",6.08,2.34,7.92,76.0
"['broccoli', 'anddark-greenleafy;tomato-basedsauce']","Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",6.82,2.35,9.89,86.0
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",7.95,5.46,16.6,147
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;nosauce']","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",8.0,5.41,18.1,151
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",6.08,5.62,13.7,129
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",6.13,5.2,14.9,130
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;creamsauce', 'whitesauce', 'ormushroomsauce']","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",6.06,5.64,13.5,128
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'and/ordark-greenleafy;creamsauce', 'whitesauce', 'ormushroomsauce']","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",6.09,5.64,14.5,132
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",6.16,5.84,13.6,130
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;tomato-basedsauce']","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",6.19,5.84,14.7,134
[],Chicken or turkey chow mein or chop suey with noodles,9.91,5.43,11.2,131
"['noodles', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;cheesesauce']","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",8.9,5.97,14.2,145
"['noodles', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;cheesesauce']","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",8.93,5.97,15.3,149
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",6.78,5.47,18.2,150
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;nosauce']","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",6.85,4.96,19.8,151
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",5.21,5.66,14.9,132
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",5.25,5.46,16.0,135
"['rice', 'corn', 'andcheese', 'withgravy']","Chicken or turkey, rice, corn, and cheese, with gravy",5.66,7.96,14.4,150
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;soy-basedsauce']","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",9.36,6.92,7.95,131
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;soy-basedsauce']","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",9.63,7.15,7.76,133
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;creamsauce', 'whitesauce', 'ormushroomsauce']","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",5.26,5.68,14.6,131
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;creamsauce', 'whitesauce', 'ormushroomsauce']","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",5.31,5.29,15.7,131
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;cheesesauce']","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",8.05,5.15,15.5,142
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;cheesesauce']","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",8.09,5.16,16.7,146
"['rice', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;tomato-basedsauce']","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",5.32,5.47,14.8,130
"['rice', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;tomato-basedsauce']","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",5.35,5.48,15.9,133
['chicken'],"Pot pie, chicken",9.24,13.5,23.9,254
"['stuffing', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;nosauce']","Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",7.12,8.74,13.3,159
"['stuffing', 'andvegetablesexcludingcarrots', 'broccoli', 'anddarkgreenleafy;nosauce']","Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce",7.17,8.75,14.8,165
"['stuffing', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordark-greenleafy;gravy']","Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",5.46,7.18,11.3,131
"['stuffing', 'andvegetablesexcludingcarrots', 'broccoli', 'anddark-greenleafy;gravy']","Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",5.22,6.82,11.8,128
"['dumplings', 'andvegetablesincludingcarrots', 'broccoli', 'and/ordarkgreenleafy;gravy']","Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy",5.59,6.64,11.6,127
"['dumplings', 'andvegetablesexcludingcarrots', 'broccoli', 'anddarkgreenleafy;gravy']","Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy",5.65,6.22,12.8,128
['PuertoRicanstyle'],"Chicken fricassee, Puerto Rican style",12.1,10.7,7.12,172
[],Paella with seafood,8.03,4.77,16.4,143
[],Shrimp chow mein or chop suey with noodles,9.05,4.03,11.4,117
['withrice'],"Shrimp creole, with rice",10.1,3.64,11.9,123
