description,name,protein,fat,carbohydrate,calories
[],Tzatziki dip,5.35,6.31,3.92,93.0
['yogurtbased'],"Vegetable dip, yogurt based",8.16,16.0,3.76,191
"['lowfat', 'withfruit']","Yogurt parfait, low fat, with fruit",3.36,1.01,15.9,84.0
['NFS'],"Frozen yogurt, NFS",3.0,3.6,21.6,127
['vanilla'],"Frozen yogurt, vanilla",3.0,3.6,21.6,127
['chocolate'],"Frozen yogurt, chocolate",3.0,3.6,21.6,131
"['softserve', 'vanilla']","Frozen yogurt, soft serve, vanilla",4.0,5.6,24.2,159
"['softserve', 'chocolate']","Frozen yogurt, soft serve, chocolate",4.31,5.76,24.9,160
[],Frozen yogurt sandwich,3.9,6.25,34.4,204
['vanilla'],"Frozen yogurt bar, vanilla",3.0,3.6,21.6,127
['chocolate'],"Frozen yogurt bar, chocolate",3.0,3.6,21.6,131
['chocolate'],"Frozen yogurt cone, chocolate",3.2,3.73,23.9,142
['vanilla'],"Frozen yogurt cone, vanilla",3.2,3.73,23.9,139
"['vanilla', 'wafflecone']","Frozen yogurt cone, vanilla, waffle cone",3.29,3.61,25.3,143
"['chocolate', 'wafflecone']","Frozen yogurt cone, chocolate, waffle cone",3.29,3.61,25.3,147
['NFS'],"Baby Toddler food, NFS",4.9,2.15,9.08,75.0
['plain'],"Baby Toddler yogurt, plain",3.47,3.25,4.66,61.0
['withfruit'],"Baby Toddler yogurt, with fruit",3.16,2.93,11.1,83.0
['NFS'],"Chocolate milk, NFS",3.39,0.0,13.5,67.0
"['readytodrink', 'whole']","Chocolate milk, ready to drink, whole",3.17,3.39,10.3,83.0
"['readytodrink', 'reducedfat']","Chocolate milk, ready to drink, reduced fat",2.99,1.9,12.1,76.0
"['readytodrink', 'fatfree']","Chocolate milk, ready to drink, fat free",3.39,0.0,13.5,67.0
"['readytodrink', 'lowfat']","Chocolate milk, ready to drink, low fat",3.46,1.11,10.2,64.0
"['readytodrink', 'reducedsugar', 'NSastomilk']","Chocolate milk, ready to drink, reduced sugar, NS as to milk",3.43,1.04,7.68,57.0
"['readytodrink', 'lowfat']","Chocolate milk, ready to drink, low fat (Nesquik)",3.46,1.11,10.2,64.0
"['readytodrink', 'lowfat', 'nosugaradded']","Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",3.46,1.11,10.2,64.0
['readytodrink'],"Hot chocolate / Cocoa, ready to drink",2.73,1.54,16.5,91.0
"['readytodrink', 'madewithnonfatmilk']","Hot chocolate / Cocoa, ready to drink, made with nonfat milk",2.79,0.06,16.6,78.0
"['readytodrink', 'madewithnon-dairymilk']","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",1.27,1.08,16.3,80.0
"['readytodrink', 'withwhippedcream']","Hot chocolate / Cocoa, ready to drink, with whipped cream",2.74,3.18,15.9,103
['madefromdrymixwithwholemilk'],"Chocolate milk, made from dry mix with whole milk",3.35,3.14,9.9,82.0
['madefromdrymixwithreducedfatmilk'],"Chocolate milk, made from dry mix with reduced fat milk",3.43,1.92,10.2,72.0
['madefromdrymixwithfatfreemilk'],"Chocolate milk, made from dry mix with fat free milk",3.5,0.22,10.2,57.0
['madefromdrymixwithnon-dairymilk'],"Chocolate milk, made from dry mix with non-dairy milk",1.75,1.38,9.89,59.0
"['madefromdrymix', 'NSastotypeofmilk']","Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",3.41,2.15,10.1,74.0
['madefromdrymixwithwholemilk'],"Chocolate milk, made from dry mix with whole milk (Nesquik)",3.35,3.14,9.9,82.0
['madefromdrymixwithreducedfatmilk'],"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",3.43,1.92,10.2,72.0
['madefromdrymixwithlowfatmilk'],"Chocolate milk, made from dry mix with low fat milk (Nesquik)",3.45,1.03,10.4,65.0
['madefromdrymixwithfatfreemilk'],"Chocolate milk, made from dry mix with fat free milk (Nesquik)",3.5,0.22,10.2,57.0
['madefromdrymixwithnon-dairymilk'],"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",1.75,1.38,9.89,59.0
['madefromnosugaraddeddrymixwithreducedfatmilk'],"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",3.61,2.01,7.64,63.0
['madefromnosugaraddeddrymixwithnon-dairymilk'],"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",1.89,1.46,7.36,50.0
"['madefromsyrup', 'NSastotypeofmilk']","Chocolate milk, made from syrup, NS as to type of milk",2.89,1.86,13.1,81.0
['madefromsyrupwithwholemilk'],"Chocolate milk, made from syrup with whole milk",2.83,2.77,13.0,89.0
['madefromsyrupwithreducedfatmilk'],"Chocolate milk, made from syrup with reduced fat milk",2.91,1.65,13.2,79.0
['madefromsyrupwithlowfatmilk'],"Chocolate milk, made from syrup with low fat milk",2.93,0.82,13.4,73.0
['madefromsyrupwithfatfreemilk'],"Chocolate milk, made from syrup with fat free milk",2.97,0.07,13.2,65.0
['madefromsyrupwithnon-dairymilk'],"Chocolate milk, made from syrup with non-dairy milk",1.36,1.15,13.0,68.0
['madefromlightsyrupwithwholemilk'],"Chocolate milk, made from light syrup with whole milk",3.04,2.92,8.38,73.0
['madefromlightsyrupwithreducedfatmilk'],"Chocolate milk, made from light syrup with reduced fat milk",3.11,1.78,8.62,63.0
['madefromlightsyrupwithlowfatmilk'],"Chocolate milk, made from light syrup with low fat milk",3.13,0.95,8.87,57.0
['madefromlightsyrupwithfatfreemilk'],"Chocolate milk, made from light syrup with fat free milk",3.18,0.19,8.64,49.0
['madefromsugarfreesyrupwithwholemilk'],"Chocolate milk, made from sugar free syrup with whole milk",3.22,3.05,5.83,59.0
['madewithdrymixandwater'],"Hot chocolate / Cocoa, made with dry mix and water",0.91,0.55,11.4,54.0
['madewithdrymixandwholemilk'],"Hot chocolate / Cocoa, made with dry mix and whole milk",3.72,3.31,15.1,106
['madewithdrymixandreducedfatmilk'],"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",3.8,2.18,15.4,96.0
['madewithdrymixandlowfatmilk'],"Hot chocolate / Cocoa, made with dry mix and low fat milk",3.82,1.36,15.6,90.0
['madewithdrymixandfatfreemilk'],"Hot chocolate / Cocoa, made with dry mix and fat free milk",3.86,0.6,15.4,82.0
['madewithdrymixandnon-dairymilk'],"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",2.24,1.68,15.1,84.0
['madewithnosugaraddeddrymixandwater'],"Hot chocolate / Cocoa, made with no sugar added dry mix and water",1.28,0.25,5.94,31.0
['madewithnosugaraddeddrymixandwholemilk'],"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",4.25,3.18,10.0,86.0
['madewithnosugaraddeddrymixandreducedfatmilk'],"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",4.34,1.99,10.3,76.0
['madewithnosugaraddeddrymixandlowfatmilk'],"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",4.35,1.12,10.6,70.0
['madewithnosugaraddeddrymixandfatfreemilk'],"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",4.4,0.32,10.3,62.0
['madewithnosugaraddeddrymixandnon-dairymilk'],"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",2.68,1.46,10.0,64.0
['NFS'],"Strawberry milk, NFS",3.34,1.9,5.34,52.0
['whole'],"Strawberry milk, whole",3.03,2.97,11.8,86.0
['reducedfat'],"Strawberry milk, reduced fat",3.16,1.8,10.7,71.0
['lowfat'],"Strawberry milk, low fat",3.13,0.89,12.3,69.0
['fatfree'],"Strawberry milk, fat free",3.18,0.09,12.1,61.0
['reducedsugar'],"Strawberry milk, reduced sugar",3.31,0.94,7.07,50.0
['non-dairy'],"Strawberry milk, non-dairy",1.45,1.24,11.8,63.0
['malted'],"Milk, malted",3.19,2.05,8.64,66.0
[],Eggnog,4.55,4.19,8.05,88.0
"['homerecipe', 'chocolate']","Milk shake, home recipe, chocolate",3.47,6.14,13.5,120
"['homerecipe', 'flavorsotherthanchocolate']","Milk shake, home recipe, flavors other than chocolate",3.35,5.98,11.4,113
"['homerecipe', 'chocolate', 'light']","Milk shake, home recipe, chocolate, light",3.99,3.31,12.9,97.0
"['homerecipe', 'flavorsotherthanchocolate', 'light']","Milk shake, home recipe, flavors other than chocolate, light",3.88,2.33,13.8,92.0
[],Milk shake with malt,3.76,6.11,13.6,125
"['fastfood', 'chocolate']","Milk shake, fast food, chocolate",3.7,6.66,20.4,150
"['fastfood', 'flavorsotherthanchocolate']","Milk shake, fast food, flavors other than chocolate",3.37,6.52,19.6,148
